filename,detection_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,area,error
Frame_20250626_114442_062_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,1,0.0,Faceplate,0.9978,0.0,7.65,536.42,719.0,268.21,363.32,536.42,711.35,381579.61,
Frame_20250626_114442_062_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,2,1.0,ATG,0.9899,537.12,30.29,1280.0,399.89,908.56,215.09,742.88,369.6,274564.18,
Frame_20250626_114608_064_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,1,0.0,Faceplate,0.9845,588.64,1.47,1280.0,566.45,934.32,283.96,691.36,564.97,390598.6,
Frame_20250626_114608_064_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,2,1.0,ATG,0.7122,0.0,19.14,588.47,283.77,294.24,151.46,588.47,264.62,155722.96,
Frame_20250626_114710_066_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,1,0.0,Faceplate,0.9964,0.0,6.26,775.51,720.0,387.76,363.13,775.51,713.74,553518.34,
Frame_20250626_114710_066_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,2,1.0,ATG,0.9587,775.36,34.95,1280.0,345.82,1027.68,190.39,504.64,310.87,156877.97,
Frame_20250626_114853_068_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,1,0.0,Faceplate,0.9922,0.32,44.21,497.36,717.43,248.84,380.82,497.04,673.22,334616.39,
Frame_20250626_114853_068_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,2,1.0,ATG,0.9674,494.41,99.28,1280.0,420.15,887.2,259.71,785.59,320.87,252074.43,
Frame_20250626_114952_070_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,1,0.0,Faceplate,0.9824,497.05,4.93,1227.35,596.25,862.2,300.59,730.29,591.32,431839.04,
Frame_20250626_114952_070_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,2,1.0,ATG,0.8494,1.32,31.31,498.0,305.11,249.66,168.21,496.68,273.8,135990.09,
Frame_20250626_115046_072_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,1,0.0,Faceplate,0.9936,0.0,8.81,690.36,683.87,345.18,346.34,690.36,675.06,466031.76,
Frame_20250626_115046_072_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,2,1.0,ATG,0.9682,689.61,56.13,1280.0,348.15,984.8,202.14,590.39,292.01,172401.62,
Frame_20250626_115138_074_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,1,0.0,Faceplate,0.995,0.44,2.38,635.27,718.12,317.86,360.25,634.83,715.74,454372.99,
Frame_20250626_115138_074_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,2,1.0,ATG,0.9867,636.92,30.82,1280.0,390.62,958.46,210.72,643.08,359.8,231384.58,
Frame_20250626_115317_076_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,1,0.0,Faceplate,0.985,0.0,4.47,570.13,709.71,285.07,357.09,570.13,705.24,402082.42,
Frame_20250626_115317_076_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,2,1.0,ATG,0.9635,576.64,41.42,1280.0,350.64,928.32,196.03,703.36,309.22,217492.76,
