filename,detection_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,area,error
Frame_20250626_114442_062_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,1,1.0,ATG,0.9808,537.15,28.68,1280.0,397.9,908.58,213.29,742.85,369.22,274275.87,
Frame_20250626_114442_062_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,2,0.0,Faceplate,0.9509,0.0,6.19,533.23,717.58,266.61,361.88,533.23,711.39,379334.18,
Frame_20250626_114608_064_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,1,0.0,Faceplate,0.9812,585.96,6.15,1280.0,578.07,932.98,292.11,694.04,571.92,396933.45,
Frame_20250626_114608_064_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,2,1.0,ATG,0.9639,0.0,16.23,590.74,300.96,295.37,158.59,590.74,284.74,168203.74,
Frame_20250626_114710_066_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,1,1.0,ATG,0.9916,771.1,41.95,1280.0,354.99,1025.55,198.47,508.9,313.05,159309.61,
Frame_20250626_114710_066_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,2,0.0,Faceplate,0.9469,6.86,7.14,781.69,719.17,394.28,363.16,774.83,712.04,551710.71,
Frame_20250626_114710_066_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,3,1.0,ATG,0.7732,782.14,40.04,1280.0,348.21,1031.07,194.13,497.86,308.16,153421.98,
Frame_20250626_114853_068_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,1,1.0,ATG,0.9683,498.09,98.64,1274.43,425.53,886.26,262.08,776.34,326.89,253778.04,
Frame_20250626_114853_068_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,2,0.0,Faceplate,0.9667,1.25,55.85,504.7,718.44,252.97,387.15,503.45,662.59,333579.99,
Frame_20250626_114952_070_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,1,1.0,ATG,0.9786,1.01,32.51,501.46,308.96,251.24,170.74,500.45,276.46,138353.07,
Frame_20250626_114952_070_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,2,0.0,Faceplate,0.9681,500.48,8.16,1229.28,594.88,864.88,301.52,728.8,586.72,427601.4,
Frame_20250626_115046_072_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,1,1.0,ATG,0.9963,688.32,53.54,1280.0,354.35,984.16,203.94,591.68,300.82,177985.35,
Frame_20250626_115046_072_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,2,0.0,Faceplate,0.9763,0.0,9.65,700.8,682.46,350.4,346.05,700.8,672.82,471506.95,
Frame_20250626_115138_074_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,1,1.0,ATG,0.9959,632.9,29.32,1280.0,385.73,956.45,207.52,647.1,356.41,230632.52,
Frame_20250626_115138_074_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,2,0.0,Faceplate,0.9617,0.87,6.57,643.42,718.73,322.15,362.65,642.55,712.16,457600.32,
Frame_20250626_115138_074_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,3,1.0,ATG,0.9188,640.84,36.18,1280.0,389.8,960.42,212.99,639.16,353.62,226022.27,
Frame_20250626_115317_076_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,1,1.0,ATG,0.9857,579.67,41.83,1280.0,357.19,929.83,199.51,700.33,315.36,220855.84,
Frame_20250626_115317_076_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,2,0.0,Faceplate,0.9776,0.0,7.02,575.99,695.26,287.99,351.14,575.99,688.24,396414.5,
Frame_20250626_115434_078_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,1,0.0,Faceplate,0.9842,1.11,6.98,482.35,680.54,241.73,343.76,481.24,673.56,324142.04,
Frame_20250626_115434_078_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,2,1.0,ATG,0.9742,481.63,11.06,1280.0,344.87,880.82,177.96,798.37,333.81,266506.44,
Frame_20250626_115528_080_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,1,0.0,Faceplate,0.9782,679.3,6.45,1280.0,567.86,979.65,287.16,600.7,561.41,337238.81,
Frame_20250626_115528_080_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,2,1.0,ATG,0.749,1.78,18.67,680.74,296.38,341.26,157.53,678.96,277.7,188549.31,
Frame_20250626_115632_082_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,1,1.0,ATG,0.9866,664.23,18.51,1280.0,331.3,972.11,174.9,615.77,312.79,192605.64,
Frame_20250626_115632_082_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,2,0.0,Faceplate,0.9512,0.49,5.73,651.32,675.41,325.9,340.57,650.83,669.69,435856.43,
Frame_20250626_115730_084_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,1,0.0,Faceplate,0.9885,731.76,7.09,1280.0,565.51,1005.88,286.3,548.24,558.42,306147.31,
Frame_20250626_115730_084_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,2,1.0,ATG,0.9379,3.3,32.71,725.84,297.03,364.57,164.87,722.54,264.32,190979.87,
Frame_20250626_115847_086_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,1,0.0,Faceplate,0.9821,722.02,6.31,1280.0,539.88,1001.01,273.1,557.98,533.57,297719.42,
Frame_20250626_115847_086_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,2,1.0,ATG,0.95,4.1,0.0,724.75,289.07,364.43,144.54,720.65,289.07,208319.72,
